"recorded_outcome","admission_grade","age"
"Dropout",102.5,26
"Dropout",102.5,27
"Graduate",110,36
"Dropout",114,29
"Dropout",128.2,35
"Graduate",116.5,18
"Graduate",149.3,24
"Dropout",134.1,18
"Enrolled",126.6,18
"Enrolled",120,21
"Graduate",133.5,21
"Graduate",110,32
"Dropout",107.5,22
"Dropout",130,32
"Dropout",111.6,35
"Dropout",101,23
"Enrolled",108.3,39
"Dropout",128.2,35
"Graduate",150,32
"Dropout",142.8,20
"Enrolled",100,34
"Dropout",150,44
"Graduate",156.5,53
"Dropout",98.6,28
"Dropout",130,31
"Enrolled",118.1,18
"Dropout",120,44
"Graduate",127.7,19
"Enrolled",130,21
"Dropout",147.7,18
"Graduate",170,20
"Graduate",110.2,55
"Enrolled",146.4,27
"Dropout",121,19
"Graduate",129.9,18
"Dropout",132,43
"Dropout",125.9,18
"Dropout",165.7,18
"Dropout",122.7,20
"Dropout",141.4,29
"Dropout",156.4,44
"Enrolled",148.5,18
"Enrolled",140,20
"Dropout",131.7,20
"Dropout",104.7,36
"Enrolled",150,19
"Dropout",110,29
"Dropout",129.1,18
"Dropout",120,24
"Graduate",127,20
"Dropout",151.5,45
"Graduate",126.8,28
"Enrolled",140.8,23
"Graduate",125.6,18
"Dropout",127.8,23
"Enrolled",120,22
"Graduate",131.3,22
"Graduate",155.7,33
"Graduate",128.5,21
"Graduate",170,45
"Dropout",100,44
"Dropout",107.2,42
"Dropout",139.3,20
"Enrolled",123.2,20
"Graduate",122.3,20
"Enrolled",127.9,20
"Enrolled",120.3,19
"Dropout",128.5,26
"Graduate",150,31
"Graduate",136.1,19
"Graduate",128,28
"Graduate",158.1,20
"Graduate",108.7,43
"Dropout",110,25
"Dropout",120,40
"Graduate",150,20
"Graduate",113,46
"Graduate",118.6,26
"Graduate",148.8,34
"Dropout",120.3,19
"Graduate",127,18
"Graduate",113.8,18
"Graduate",108,37
"Graduate",129.1,23
"Graduate",135.9,26
"Dropout",154.4,18
"Enrolled",190,18
"Graduate",132.5,19
"Graduate",163.3,18
"Dropout",122.5,19
"Enrolled",121,20
"Graduate",131.8,22
"Graduate",135,18
"Graduate",141.7,18
"Graduate",131.3,18
"Graduate",123.9,18
"Graduate",126.1,18
"Graduate",126.5,19
"Dropout",107.3,20
"Dropout",95,19
"Graduate",116.1,18
"Dropout",134.6,18
"Graduate",128,18
"Graduate",144.2,18
"Graduate",129.5,18
"Graduate",116.8,18
"Graduate",160,20
"Graduate",127.1,19
"Enrolled",126.3,18
"Graduate",112.9,19
"Enrolled",130.2,19
"Enrolled",100,19
"Graduate",121.6,19
"Graduate",130,20
"Graduate",121.7,18
"Dropout",120,33
"Dropout",143.5,19
"Graduate",128.3,18
"Dropout",111.9,19
"Enrolled",140,19
"Graduate",137.6,18
"Graduate",135,20
"Graduate",133.8,19
"Graduate",126.9,18
"Dropout",106.7,19
"Graduate",145.7,25
"Enrolled",153.1,20
"Graduate",118.7,19
"Dropout",161.8,33
"Enrolled",124.9,18
"Enrolled",150.8,18
"Graduate",130,19
"Enrolled",163.6,18
"Enrolled",115,19
"Dropout",136.8,18
"Graduate",130.9,18
"Graduate",127,18
"Dropout",120,37
"Enrolled",126,20
"Graduate",153.8,20
"Graduate",140,21
"Graduate",136.6,18
"Enrolled",105,26
"Enrolled",139.4,41
"Graduate",140,18
"Graduate",130.8,18
"Graduate",138.8,31
"Graduate",110,23
"Graduate",127.8,19
"Graduate",134.2,20
"Graduate",143,40
"Dropout",120,32
"Dropout",113.2,24
"Graduate",135.8,18
"Graduate",143.5,18
"Graduate",148.9,18
"Dropout",115.6,27
"Graduate",159.3,18
"Enrolled",138.5,26
"Graduate",133.2,19
"Graduate",117.6,19
"Enrolled",108.7,21
"Enrolled",106,24
"Dropout",122.6,20
"Enrolled",127.4,18
"Dropout",100,30
"Enrolled",95,22
"Graduate",130,21
"Dropout",122.8,26
"Enrolled",115,23
"Graduate",145.9,18
"Dropout",143,21
"Dropout",100,18
"Enrolled",121.3,21
"Enrolled",121.2,18
"Dropout",125.1,19
"Enrolled",112.9,22
"Graduate",120.8,19
"Dropout",114,19
"Dropout",132.1,19
"Graduate",160,27
"Graduate",134,22
"Dropout",124.2,18
"Graduate",115.6,20
"Dropout",128.2,34
"Graduate",132.8,18
"Graduate",123.1,20
"Graduate",125.6,20
"Dropout",115,25
"Dropout",123.6,18
"Dropout",141.7,18
"Dropout",139,18
"Graduate",118,19
"Dropout",142,19
"Graduate",143.4,21
"Enrolled",115.9,29
"Graduate",105.1,20
"Graduate",138,21
"Dropout",114.7,34
"Graduate",130.5,20
"Dropout",134.3,24
"Graduate",137.5,18
"Enrolled",125.3,19
"Enrolled",111.3,18
"Enrolled",144.8,28
"Dropout",152.1,28
"Dropout",126.1,20
"Graduate",136,22
"Graduate",124.3,19
"Enrolled",129.9,20
"Dropout",136.1,26
"Dropout",115.1,21
"Graduate",143.6,18
"Graduate",115.8,18
"Graduate",149,22
"Dropout",100,36
"Graduate",133.4,20
"Dropout",122.8,20
"Dropout",151.2,25
"Graduate",137,35
"Dropout",118,22
"Enrolled",126.4,26
"Dropout",130,20
"Dropout",112.5,50
"Dropout",118.3,20
"Enrolled",121.4,20
"Dropout",140,35
"Graduate",109,19
"Dropout",110,43
"Graduate",119.8,19
"Graduate",130,25
"Graduate",167.3,19
"Enrolled",111.9,20
"Dropout",136,22
"Dropout",124,19
"Dropout",132.9,32
"Graduate",154,57
"Dropout",115,20
"Dropout",96,38
"Graduate",168.2,45
"Dropout",140,43
"Graduate",137.4,19
"Dropout",150,49
"Enrolled",100.5,43
"Dropout",148.5,34
"Enrolled",123.3,18
"Graduate",138.7,43
"Dropout",117.2,21
"Enrolled",114.3,40
"Graduate",125.3,19
"Enrolled",97,27
"Dropout",140,43
"Graduate",124,31
"Enrolled",140,26
"Graduate",127,34
"Graduate",110,30
"Dropout",170,36
"Dropout",120,46
"Graduate",130,22
"Dropout",130,27
"Enrolled",122.5,20
"Enrolled",115.7,20
"Dropout",120,31
"Enrolled",166,20
"Dropout",132.8,21
"Dropout",100,21
"Graduate",121.8,19
"Graduate",109.5,20
"Graduate",138.3,18
"Graduate",131.6,18
"Enrolled",125.3,30
"Dropout",101.5,34
"Enrolled",109.1,21
"Dropout",123.9,20
"Graduate",143,18
"Dropout",126.3,21
"Dropout",113.3,26
"Dropout",119.9,20
"Dropout",140,25
"Enrolled",108,19
"Dropout",100,24
"Graduate",132.4,20
"Dropout",137.1,20
"Graduate",138.1,18
"Enrolled",130,25
"Graduate",109.7,22
"Dropout",128.2,41
"Dropout",117.8,19
"Graduate",150,21
"Dropout",160,30
"Graduate",104.5,21
"Enrolled",112.8,26
"Graduate",100,21
"Graduate",132.5,18
"Graduate",123.3,19
"Graduate",128.9,18
"Enrolled",128.3,19
"Enrolled",100,21
"Dropout",120.1,18
"Graduate",160,24
"Enrolled",123,21
"Graduate",150,23
"Graduate",124,18
"Enrolled",120,26
"Graduate",120.4,20
"Graduate",131.6,18
"Graduate",104.2,20
"Enrolled",122,20
"Enrolled",110.7,18
"Graduate",121.7,22
"Graduate",126,20
"Graduate",128.4,19
"Dropout",134.9,18
"Graduate",143.9,18
"Graduate",145,19
"Graduate",132,19
"Graduate",136.1,24
"Graduate",138.9,21
"Graduate",102,20
"Dropout",123,28
"Graduate",137.5,21
"Enrolled",102.2,20
"Dropout",105.3,36
"Dropout",130,42
"Dropout",122.5,47
"Dropout",112,25
"Graduate",110,25
"Dropout",149.5,48
"Graduate",141,32
"Dropout",130,38
"Graduate",130,37
"Dropout",104,26
"Dropout",110,23
"Enrolled",120,23
"Enrolled",130,20
"Dropout",127,26
"Enrolled",100,45
"Enrolled",111,26
"Graduate",130,26
"Enrolled",130.1,25
"Graduate",127.5,18
"Graduate",130,27
"Dropout",115,24
"Graduate",126.8,20
"Dropout",116.7,18
"Graduate",128.5,18
"Graduate",127.5,18
"Enrolled",117.5,19
"Graduate",148.8,19
"Enrolled",120.2,19
"Graduate",127.3,18
"Enrolled",136.1,18
"Enrolled",122.4,19
"Graduate",130,23
"Graduate",121.7,21
"Graduate",122.7,18
"Dropout",129.2,20
"Enrolled",105,23
"Enrolled",129.9,20
"Graduate",136.3,18
"Graduate",114.9,29
"Dropout",102,28
"Enrolled",111.3,19
"Dropout",130.9,24
"Dropout",100,33
"Dropout",112.9,19
"Graduate",112.7,19
"Graduate",143,37
"Graduate",155.1,18
"Enrolled",127.6,29
"Graduate",146.6,37
"Dropout",141,36
"Graduate",120.6,19
"Graduate",110,33
"Dropout",108.6,34
"Graduate",134.9,18
"Dropout",120,20
"Graduate",141.3,19
"Graduate",135.6,20
"Graduate",121.5,19
"Graduate",125,19
"Graduate",119.1,22
"Enrolled",126.6,18
"Graduate",116.7,18
"Enrolled",120.1,19
"Graduate",124.9,19
"Dropout",114,31
"Graduate",131.1,18
"Graduate",129.3,19
"Graduate",129.7,18
"Graduate",120.8,19
"Graduate",135,19
"Enrolled",117.8,19
"Graduate",130,30
"Enrolled",117.6,18
"Graduate",130.8,18
"Dropout",111.9,21
"Graduate",145.9,19
"Enrolled",109.1,19
"Enrolled",120.3,19
"Dropout",113.5,19
"Graduate",135.4,19
"Graduate",130.2,39
"Enrolled",136.4,18
"Dropout",126.9,20
"Graduate",119.8,19
"Enrolled",124.4,18
"Enrolled",120,34
"Enrolled",111.8,22
"Graduate",130,24
"Graduate",138,34
"Dropout",114.6,46
"Enrolled",108,50
"Dropout",140,37
"Graduate",134.7,18
"Enrolled",110,25
"Graduate",104.8,46
"Graduate",126.5,30
"Dropout",118.1,37
"Enrolled",119.9,50
"Graduate",160,20
"Dropout",100.5,39
"Dropout",110,53
"Dropout",100,54
"Graduate",140,19
"Dropout",109,20
"Graduate",120.9,18
"Graduate",125.8,21
"Graduate",161.2,18
"Dropout",122,19
"Dropout",127.9,18
"Graduate",135.8,19
"Dropout",149.7,18
"Graduate",137.3,19
"Enrolled",106,48
"Graduate",110,34
"Graduate",146.4,18
"Graduate",121,50
"Graduate",125.2,41
"Dropout",119.6,22
"Graduate",142.8,43
"Dropout",123.5,50
"Graduate",100,60
"Enrolled",140,41
"Graduate",150.3,47
"Graduate",128.2,22
"Dropout",114.3,41
"Enrolled",117.3,28
"Graduate",120,32
"Dropout",110.7,50
"Enrolled",118,53
"Dropout",169.2,54
"Enrolled",106.8,49
"Dropout",100,34
"Dropout",144.5,45
"Graduate",134.5,47
"Enrolled",114.3,22
"Dropout",113.4,33
"Graduate",128,43
"Graduate",120,54
"Graduate",147.5,39
"Graduate",120.7,39
"Graduate",153.7,18
"Graduate",121.9,19
"Graduate",119.4,18
"Graduate",157.8,44
"Dropout",154,27
"Graduate",135.9,18
"Dropout",130,45
"Graduate",118.9,20
"Graduate",152.4,40
"Enrolled",147.8,40
"Graduate",100,18
"Graduate",129,21
"Graduate",148.9,20
"Enrolled",120,36
"Dropout",170,27
"Graduate",130,32
"Graduate",119.2,18
"Dropout",129,37
"Graduate",132.5,19
"Graduate",115,41
"Graduate",128,18
"Graduate",125.1,21
"Dropout",140,23
"Dropout",120.9,18
"Graduate",135.3,18
"Dropout",125.2,21
"Graduate",135.7,19
"Dropout",110,47
"Enrolled",119,48
"Graduate",110,39
"Graduate",115.2,19
"Dropout",112.9,38
"Dropout",119.4,27
"Graduate",152.9,18
"Enrolled",117.5,34
"Dropout",98.5,48
"Dropout",108,25
"Graduate",120,32
"Graduate",150.2,18
"Graduate",139.2,20
"Graduate",130,20
"Dropout",115.7,20
"Enrolled",127,19
"Dropout",118.1,39
"Dropout",119.1,29
"Dropout",111.9,36
"Graduate",130.5,18
"Dropout",135,51
"Dropout",130,23
"Dropout",150,21
"Dropout",150.2,28
"Enrolled",127.1,34
"Dropout",107.5,41
"Graduate",130,43
"Enrolled",152.8,28
"Graduate",160.1,19
"Graduate",140,26
"Graduate",110.7,18
"Dropout",138.3,45
"Dropout",150,19
"Graduate",112.3,20
"Graduate",122,18
"Dropout",141.7,27
"Graduate",118.4,20
"Graduate",128.7,18
"Enrolled",100,35
"Dropout",100.8,26
"Graduate",125.5,39
"Graduate",124,18
"Dropout",130,36
"Graduate",160.5,38
"Dropout",100,45
"Graduate",103,62
"Graduate",103,20
"Graduate",131.5,18
"Dropout",121.4,18
"Graduate",137.3,23
"Dropout",138.4,19
"Graduate",131.1,19
"Graduate",100,18
"Enrolled",133,18
"Graduate",100,41
"Graduate",159,51
"Graduate",120.6,24
"Dropout",134,25
"Enrolled",139.4,18
"Graduate",116.5,20
"Dropout",113.9,19
"Graduate",130,41
"Graduate",129.9,19
"Dropout",133.7,28
"Graduate",124.8,21
"Dropout",133.6,22
"Graduate",133.5,18
"Graduate",128,19
"Graduate",127.2,19
"Graduate",150,25
"Graduate",127.8,18
"Graduate",125.2,19
"Enrolled",110,20
"Graduate",100,46
"Graduate",151.4,19
"Enrolled",125.1,18
"Graduate",163.3,18
"Graduate",118,19
"Dropout",140.2,20
"Graduate",128.5,38
"Graduate",131.5,18
"Graduate",132.6,18
"Graduate",122.1,18
"Enrolled",112,20
"Graduate",133,19
"Dropout",127,37
"Enrolled",130,24
"Graduate",136.4,19
"Dropout",129,19
"Dropout",119,19
"Graduate",128,18
"Graduate",117.1,18
"Graduate",136.3,18
"Enrolled",124.6,19
"Dropout",130.7,18
"Graduate",115.2,20
"Graduate",130.2,20
"Dropout",128.5,18
"Graduate",95,20
"Graduate",119.4,18
"Dropout",123.5,19
"Graduate",133.9,18
"Graduate",145.2,20
"Graduate",118.8,18
"Graduate",123.4,19
"Graduate",123,19
"Graduate",118.4,19
"Graduate",131.6,18
"Dropout",122.3,19
"Graduate",151.7,24
"Graduate",176,18
"Graduate",133,18
"Enrolled",139.8,18
"Dropout",119.6,19
"Graduate",134,35
"Graduate",132,19
"Dropout",130,28
"Graduate",141.4,21
"Graduate",128.9,19
"Graduate",118.1,19
"Graduate",130.6,18
"Graduate",122,18
"Dropout",123,19
"Graduate",126.7,20
"Graduate",126.6,18
"Dropout",125.4,19
"Dropout",136.1,20
"Enrolled",128.8,18
"Graduate",111.1,18
"Graduate",135.9,21
"Graduate",119.6,19
"Graduate",116.7,19
"Enrolled",126,19
"Dropout",134.2,18
"Graduate",123,18
"Graduate",123.9,18
"Dropout",120,31
"Enrolled",112.3,19
"Graduate",123,20
"Dropout",122.3,19
"Graduate",122.8,19
"Dropout",160,27
"Graduate",120.1,18
"Dropout",142.4,32
"Graduate",127.3,18
"Graduate",125.5,19
"Enrolled",137.4,19
"Dropout",122,18
"Dropout",107.5,18
"Graduate",104,24
"Graduate",133.1,19
"Dropout",113.3,21
"Graduate",130,19
"Enrolled",124.3,19
"Graduate",105,36
"Dropout",144,51
"Enrolled",111.9,20
"Dropout",107.5,29
"Dropout",127.4,27
"Enrolled",149,33
"Dropout",120,57
"Enrolled",143.6,20
"Dropout",120,26
"Enrolled",128,27
"Graduate",118.2,19
"Dropout",160,23
"Graduate",152.4,27
"Graduate",116.6,20
"Graduate",141.6,19
"Dropout",105.5,19
"Graduate",116.3,20
"Enrolled",110,33
"Graduate",119.5,22
"Graduate",125,18
"Graduate",160,27
"Dropout",150,27
"Graduate",115,19
"Enrolled",128.4,20
"Graduate",112.8,23
"Graduate",131,22
"Dropout",121.6,18
"Graduate",110,18
"Graduate",148.5,31
"Dropout",118.3,19
"Enrolled",135.9,19
"Dropout",115.8,24
"Graduate",121.2,19
"Graduate",136.2,19
"Dropout",100.2,26
"Dropout",152.7,27
"Graduate",123.1,19
"Dropout",130,29
"Graduate",125,18
"Graduate",113.1,19
"Enrolled",121.1,18
"Graduate",162.3,18
"Dropout",132,19
"Graduate",130.7,19
"Dropout",122.3,19
"Enrolled",144.1,19
"Graduate",118.2,19
"Graduate",133.5,19
"Dropout",126.8,18
"Graduate",121,20
"Graduate",117.7,20
"Enrolled",115,21
"Dropout",129.2,31
"Graduate",125.8,20
"Enrolled",118.4,19
"Graduate",142,18
"Graduate",126.7,19
"Graduate",109.3,30
"Enrolled",116.9,21
"Graduate",121.7,19
"Graduate",117.1,22
"Graduate",114.4,18
"Graduate",133,18
"Graduate",118.8,19
"Graduate",151,18
"Enrolled",119.6,21
"Enrolled",135.4,18
"Graduate",149.9,20
"Graduate",120.1,18
"Graduate",173.3,25
"Graduate",126.2,19
"Enrolled",126.9,19
"Graduate",157.4,26
"Graduate",120.2,21
"Dropout",124.8,19
"Graduate",130.3,19
"Graduate",152.4,18
"Graduate",113.5,32
"Graduate",125.7,18
"Enrolled",102.4,20
"Enrolled",125.7,20
"Graduate",120,39
"Enrolled",109.3,20
"Dropout",162.2,18
"Graduate",155.7,18
"Graduate",147.7,21
"Enrolled",115.6,18
"Enrolled",117.8,18
"Graduate",125,21
"Dropout",129.8,22
"Enrolled",123.1,21
"Enrolled",122.8,20
"Graduate",117.3,21
"Graduate",126.5,20
"Graduate",123,19
"Graduate",127.7,20
"Graduate",117.5,19
"Graduate",128.4,18
"Dropout",124.1,18
"Dropout",140.9,24
"Dropout",126.2,21
"Graduate",120.5,18
"Graduate",121.1,20
"Dropout",123.7,20
"Dropout",116.9,18
"Graduate",100,25
"Enrolled",120.2,19
"Dropout",153.8,35
"Graduate",120.1,19
"Dropout",128.1,18
"Graduate",126.8,19
"Enrolled",125.7,19
"Graduate",146.2,18
"Dropout",140,24
"Graduate",134.5,25
"Enrolled",137,28
"Graduate",107.5,19
"Dropout",112.2,19
"Dropout",128.2,30
"Dropout",126.8,19
"Dropout",132.1,21
"Dropout",110,19
"Dropout",100,29
"Dropout",114.3,18
"Enrolled",116.4,21
"Dropout",116.9,20
"Enrolled",128.2,24
"Dropout",127,18
"Enrolled",140,23
"Graduate",120,19
"Dropout",110,35
"Graduate",127,20
"Dropout",159.5,33
"Graduate",135.2,18
"Enrolled",122.8,20
"Dropout",118,19
"Dropout",123.6,18
"Dropout",111,28
"Graduate",144.6,18
"Dropout",111.8,25
"Dropout",122.1,19
"Graduate",119.9,18
"Graduate",130,29
"Enrolled",118.4,18
"Graduate",112.6,20
"Dropout",150,20
"Graduate",165.8,18
"Graduate",101.7,21
"Dropout",124.3,18
"Graduate",122.1,20
"Enrolled",134.7,23
"Dropout",154.5,26
"Dropout",128.8,19
"Dropout",106,24
"Graduate",146.2,20
"Dropout",116.9,26
"Dropout",118.2,31
"Graduate",105.7,27
"Graduate",126.9,24
"Enrolled",150,23
"Graduate",108.4,20
"Graduate",114.2,20
"Graduate",140,24
"Enrolled",142.5,39
"Graduate",126.5,18
"Dropout",111.3,20
"Graduate",125.1,18
"Graduate",126.3,19
"Graduate",142.2,18
"Enrolled",110.2,22
"Graduate",127,18
"Graduate",128.6,18
"Enrolled",130.4,30
"Graduate",134.4,34
"Dropout",100,38
"Graduate",133,19
"Dropout",126.7,19
"Dropout",129,21
"Graduate",133.7,18
"Graduate",122.2,20
"Graduate",128.9,18
"Graduate",154.4,18
"Dropout",130,36
"Graduate",113,18
"Dropout",123.3,21
"Dropout",130,21
"Graduate",101.3,18
"Graduate",113.7,18
"Graduate",138.8,19
"Graduate",140,29
"Graduate",130,20
"Graduate",132.5,18
"Graduate",117.4,19
"Graduate",109.8,19
"Dropout",116.5,37
"Graduate",165.2,18
"Dropout",113,21
"Graduate",123.3,19
"Graduate",116.7,19
"Enrolled",110,35
"Dropout",118.9,30
"Dropout",103.6,27
"Dropout",122.7,45
"Graduate",113.5,50
"Graduate",128.2,41
"Enrolled",120,26
"Dropout",130,44
"Graduate",110,23
"Dropout",117.7,34
"Graduate",99.6,21
"Dropout",117.9,22
"Graduate",113,32
"Graduate",124.4,20
"Dropout",140,59
"Enrolled",132.4,30
"Graduate",124,18
"Enrolled",132,25
"Graduate",149.8,36
"Dropout",160,36
"Dropout",114.6,19
"Graduate",120,25
"Graduate",100,35
"Dropout",128.5,20
"Dropout",113,35
"Dropout",150.8,27
"Enrolled",130.8,18
"Enrolled",114.5,23
"Graduate",114.8,19
"Enrolled",126.2,18
"Dropout",129,26
"Graduate",110.5,19
"Dropout",132.5,19
"Dropout",130.7,18
"Graduate",130.4,19
"Graduate",124.3,19
"Graduate",132.6,19
"Graduate",146.7,21
"Graduate",130.1,18
"Graduate",120,33
"Graduate",121.3,32
"Graduate",133.3,17
"Dropout",110.5,31
"Graduate",102.5,32
"Dropout",150.9,18
"Enrolled",106.6,31
"Enrolled",118.3,20
"Dropout",117.9,40
"Graduate",135,32
"Dropout",120,40
"Graduate",167.1,18
"Dropout",115.8,28
"Graduate",141.2,19
"Graduate",118.4,19
"Dropout",134.3,21
"Dropout",128.7,22
"Dropout",116.1,18
"Dropout",100,27
"Enrolled",118.8,19
"Graduate",130,30
"Dropout",150,28
"Enrolled",116,34
"Enrolled",99,21
"Graduate",132,20
"Dropout",125,31
"Dropout",116.2,21
"Dropout",100,27
"Graduate",132.9,19
"Enrolled",132.5,21
"Dropout",140,21
"Dropout",100.1,35
"Dropout",128.2,28
"Enrolled",133.4,24
"Dropout",136.1,19
"Enrolled",123,20
"Graduate",130.3,20
"Enrolled",153.7,19
"Dropout",142.5,37
"Dropout",114.6,19
"Dropout",108.5,36
"Dropout",140,29
"Graduate",120,30
"Dropout",120,32
"Enrolled",127.6,26
"Dropout",140,37
"Dropout",111.3,27
"Graduate",131,18
"Graduate",139.5,18
"Dropout",110,32
"Enrolled",130,20
"Dropout",115,22
"Dropout",154.3,32
"Enrolled",135,21
"Dropout",115.2,19
"Graduate",130.6,18
"Graduate",117.4,18
"Dropout",150,38
"Dropout",131.3,21
"Dropout",120.4,21
"Enrolled",113.6,26
"Graduate",125,19
"Enrolled",132.3,19
"Dropout",142.7,18
"Dropout",130,25
"Graduate",120.8,19
"Graduate",130.3,18
"Graduate",119.9,19
"Graduate",110.5,22
"Graduate",160,21
"Graduate",118.6,21
"Graduate",112.3,20
"Enrolled",124.4,19
"Graduate",125,18
"Dropout",105.8,26
"Dropout",121.5,31
"Graduate",134.2,18
"Dropout",130,35
"Enrolled",122.8,19
"Graduate",108.7,19
"Graduate",136.7,18
"Graduate",119.1,20
"Graduate",151.3,19
"Enrolled",108.3,21
"Graduate",127.4,18
"Graduate",124,23
"Graduate",155,21
"Graduate",114,19
"Enrolled",118.9,19
"Graduate",160,20
"Enrolled",126.1,18
"Graduate",136.5,18
"Graduate",122.3,19
"Graduate",128,21
"Graduate",156.5,18
"Enrolled",125.7,20
"Graduate",143,18
"Graduate",131.9,18
"Enrolled",113.7,32
"Graduate",155.1,18
"Enrolled",121.1,19
"Graduate",130.3,18
"Dropout",123.3,18
"Graduate",117.4,20
"Enrolled",140.3,19
"Graduate",120,19
"Enrolled",133.4,18
"Dropout",126.7,18
"Graduate",129.3,18
"Enrolled",125.7,20
"Enrolled",144.8,19
"Dropout",98.6,21
"Graduate",126.9,19
"Graduate",146.7,20
"Graduate",117,21
"Dropout",130,23
"Dropout",125.8,18
"Dropout",160,30
"Dropout",134.2,20
"Dropout",96,29
"Enrolled",101.8,24
"Graduate",125.2,20
"Dropout",100,27
"Dropout",140,23
"Graduate",120,23
"Graduate",134.3,18
"Graduate",144.7,19
"Dropout",131.9,19
"Dropout",136.7,18
"Graduate",129.8,19
"Graduate",146.5,18
"Enrolled",122.5,29
"Graduate",117.8,24
"Dropout",106,19
"Enrolled",119,19
"Enrolled",115.1,19
"Graduate",116.9,20
"Graduate",141.7,18
"Dropout",127.7,18
"Graduate",122.1,19
"Dropout",153.5,19
"Graduate",141.4,18
"Graduate",135.8,19
"Graduate",127.5,18
"Enrolled",151.6,24
"Enrolled",121.4,28
"Graduate",100,20
"Graduate",131.5,19
"Dropout",109.3,22
"Graduate",127.9,19
"Graduate",140,36
"Graduate",160,19
"Graduate",119.8,18
"Dropout",153,40
"Graduate",125,19
"Enrolled",103.7,38
"Dropout",120,32
"Enrolled",146,19
"Graduate",116.9,19
"Dropout",117.9,35
"Enrolled",128.6,20
"Graduate",135,29
"Enrolled",124.6,29
"Enrolled",124,19
"Graduate",129.5,18
"Graduate",111.3,25
"Dropout",95,50
"Dropout",131.8,24
"Dropout",119.1,18
"Graduate",125.4,20
"Graduate",140.7,20
"Dropout",131.9,21
"Enrolled",124,28
"Graduate",139.2,19
"Graduate",121.8,18
"Graduate",132.9,22
"Dropout",130,25
"Dropout",130.1,37
"Dropout",124.5,38
"Dropout",162.3,36
"Graduate",137.8,18
"Dropout",119.5,19
"Dropout",110,24
"Graduate",105,20
"Dropout",142.8,21
"Dropout",128.2,32
"Dropout",120,39
"Dropout",130,33
"Graduate",121.7,20
"Graduate",116,19
"Dropout",133.2,43
"Dropout",116.7,49
"Graduate",126.4,18
"Enrolled",140,27
"Dropout",120.3,19
"Dropout",118,45
"Graduate",149.5,19
"Graduate",130,21
"Graduate",126.3,18
"Dropout",116.2,18
"Dropout",126,29
"Graduate",122.3,19
"Enrolled",119.5,18
"Graduate",131.8,22
"Dropout",130.7,18
"Enrolled",140,20
"Dropout",129.5,20
"Dropout",130,29
"Dropout",114,29
"Enrolled",121,23
"Dropout",116.4,19
"Dropout",121.7,18
"Dropout",130,22
"Dropout",120,34
"Graduate",125,26
"Dropout",134.1,24
"Graduate",149.5,17
"Enrolled",113.2,21
"Enrolled",146,34
"Graduate",140,19
"Dropout",162.4,49
"Dropout",136.6,23
"Dropout",111,18
"Enrolled",115.7,20
"Graduate",105.7,19
"Enrolled",128.2,24
"Graduate",137,18
"Dropout",120,45
"Dropout",120.5,30
"Dropout",118.1,28
"Dropout",139,40
"Dropout",116.3,32
"Dropout",120.5,19
"Graduate",134.9,20
"Dropout",123,18
"Dropout",122.9,20
"Enrolled",140,39
"Enrolled",122.5,19
"Enrolled",121.5,38
"Graduate",132.3,18
"Graduate",131.5,18
"Dropout",128.2,28
"Dropout",148,31
"Graduate",121.5,23
"Enrolled",135.4,21
"Dropout",139,33
"Dropout",113.4,22
"Dropout",150,20
"Enrolled",122,19
"Graduate",150,20
"Enrolled",119.3,25
"Dropout",140,25
"Enrolled",125,19
"Graduate",140.7,20
"Enrolled",100,33
"Graduate",146.7,19
"Dropout",96,31
"Dropout",160,24
"Dropout",130,23
"Dropout",130,26
"Graduate",140,38
"Graduate",116.6,20
"Graduate",120.5,20
"Dropout",103,25
"Graduate",111.9,19
"Graduate",148.7,18
"Dropout",120,28
"Enrolled",125.7,18
"Graduate",120.1,20
"Graduate",127.8,18
"Graduate",106.4,19
"Dropout",100,24
"Dropout",123.9,21
"Graduate",139.5,20
"Graduate",150,21
"Graduate",139.8,24
"Dropout",154.4,27
"Enrolled",115.5,19
"Graduate",119,39
"Dropout",96.1,25
"Dropout",130,18
"Graduate",128.8,19
"Graduate",126.8,21
"Dropout",130,27
"Enrolled",116.7,19
"Enrolled",125.5,18
"Dropout",110,27
"Dropout",133.7,18
"Enrolled",117.6,19
"Dropout",140,19
"Enrolled",150,22
"Graduate",133.7,18
"Graduate",137,18
"Dropout",128.2,23
"Dropout",129.2,20
"Graduate",129.5,18
"Graduate",129.6,18
"Enrolled",121.7,18
"Graduate",141.8,20
"Graduate",129.8,20
"Dropout",106,21
"Enrolled",121.6,22
"Dropout",121.5,20
"Enrolled",117,19
"Enrolled",130,19
"Graduate",117.7,20
"Dropout",140,19
"Dropout",133.1,19
"Enrolled",100,24
"Dropout",119.1,18
"Enrolled",129.8,18
"Dropout",131.3,18
"Graduate",136.7,18
"Graduate",126.2,21
"Dropout",109.6,18
"Graduate",131.9,18
"Graduate",140.7,18
"Dropout",120.7,23
"Graduate",113.8,21
"Enrolled",121,20
"Dropout",112.4,26
"Enrolled",131,18
"Dropout",142.7,18
"Graduate",125.5,19
"Graduate",107.8,20
"Dropout",110.4,19
"Enrolled",136.1,21
"Graduate",138.3,33
"Graduate",142.3,18
"Graduate",145,21
"Graduate",125.7,19
"Enrolled",108,33
"Graduate",128.7,18
